ID	Name	Itemset	Type	Conditional	Location	Cost Type	Cost Amt	Short Description	Long Description	Lore	Positive Effects	Positive Values	Negative Effects	Negative Values	Image Name	Notes
500																
501																
502																
503																
504																
505																
506						NONE										
507						NONE										
508						NONE										
509						NONE										
510	Chain of Events	Fate	PLOT	UNFINISHED, UNLOCKABLE, ENEMY	ANY	NONE	0				NONE	0	NONE	0		
511	Doomy Gloom	Fate	PLOT	UNFINISHED, UNLOCKABLE, ENEMY	ANY	NONE	0	When DEFENSIVE is used, a shroud of gloom is produced.	When DEFENSIVE is used, a shroud of gloom is produced.		NONE	0	NONE	0		
512		Fate														
513		Fate														
514		Fate														
515	Obol	Greed	BUFF	STORE, CHEST, UNFINISHED	ANY	GOLD	10	Coin Projectile thrown every 5 seconds. Deals 10 damage if it hits	Coin Projectile thrown every 5 seconds. Deals 10 damage if it hits. Costs 1 gold each fight.	A coin once thrown in a well. An empty wish. Now the Obol wishes to prove its value to you.	PRJ_DMG_TIME, PRJ_DMG_AMT	5,10	NONE	0		
516																
517																
518																
519																
520	Broken Demon Horn	Garbage	BUFF/DEBUFF	STORE, CHEST, UNFINISHED	ANY	GOLD	5			A horn broken in two. You feel as if the pieces wish to be rejoined.	NONE	0	NONE	0		Items in the "Garbage" set have the potential to become valuable and transform into a different item under certain conditions
521	Empty Chocolate Box	Garbage	BUFF/DEBUFF	STORE, CHEST, UNFINISHED	ANY	GOLD	5			A burnt, heart-shaped box of chocolates. You feel as if the pieces wish to be rejoined.	NONE	0	NONE	0		
522	Shattered Glass Shards	Garbage	BUFF/DEBUFF	STORE, CHEST	ANY	GOLD	1	-1 HP, +5 attack	Gather with caution, shards are sharp. -1 HP, +5 attack	The remnants of what was once a fine piece of art. You feel as if the pieces wish to be rejoined.	ADD_FLAT_ATK, ADD_FLAT_HEAL	5,-1	NONE	0		
523		Garbage														
524		Garbage														
525		Garbage														
526		Garbage														
527		Garbage														
528		Garbage														
529		Garbage														
530	Superb Glue	Engineering	BUFF	CHEST, UNFINISHED	ANY	GOLD	1			An adhesive made to fix any break or damage. Although, it can't repair a broken person.	UNIQUE	1	NONE	0		Item will repair the Broken Demon Horn
531	Well-tempered Chocolates	Sweets	BUFF	CHEST, UNFINISHED	ANY	GOLD	1				UNIQUE	1	NONE	0		Item will fill the Empty Chocolate Box
532	Oxy-acetylene Torch	Engineering	BUFF	CHEST, UNFINISHED	ANY	GOLD	1				NONE	0	NONE	0		Item will repair the Shattered Glass Shards
533																
534																
535																
536																
537																
538																
539																
540	Un-whole-y Demon Horn	Repaired	BUFF	UNFINISHED	NONE	NONE	0			Whole again, the Unholy Demon Horn gives off an aura of demonic power.	NONE	0	NONE	0		This is the repaired version of Broken Demon Horn
541	Heart-shaped Box of Chocolates	Repaired	BUFF	UNFINISHED	NONE	NONE	0			Whole again, the Heart-shaped Box of Chocolates gives off a wholesome warmth.	NONE	0	NONE	0		This is the repaired version of the Empty Chocolate Box
542	Strange Glass Bird	Repaired	BUFF	UNFINISHED	NONE	NONE	0			Whole again, the Strange Glass Bird gives off a strange sound.	NONE	0	NONE	0		This is the repaired version of the Shattered Glass Shards
543		Repaired														
544		Repaired														
545		Repaired														
546		Repaired														
547		Repaired														
548		Repaired														
549		Repaired														
550	Fake Obol	Counterfeit	BUFF	CHEST, UNFINISHED	ANY	GOLD	1			A mishapen ersatz coin created from inferior metals.	NONE	0	NONE	0		
551	Fool's Gold	Counterfeit	BUFF	CHEST, UNFINISHED	ANY	GOLD	1				NONE	0	NONE	0		
552																
553																
554																
555																
556																
557																
558																
559																
560																
561																
562																
563																
564																
565																
566																
567																
568																
569																
570																
571																
572																
573																
574																
575																
576																
577																
578																
579																
580																
581																
582																
583																
584																
585																
586																
587																
588																
589																
590																
591																
592																
593																
594																
595																
596																
597																
598																
599																
600																
601																
602																
603																
604																
605																
606																
607																
608																
609																
610																
611																
612																
613																
614																
615																
616																
617																
618																
619																
620																
621																
622																
623																
624																
625																
626																
627																
628																
629																
630																
631																
632																
633																
634																
635																
636																
637																
638																
639																
640																
641																
642																
643																
644																
645																
646																
647																
648																
649																
650																
651																
652																
653																
654																
655																
656																
657																
658																
659																
660																
661																
662																
663																
664																
665																
666																
667																
668																
669																
670																
671																
672																
673																
674																
675																
676																
677																
678																
679																
680																
681																
682																
683																
684																
685																
686																
687																
688																
689																
690																
691																
692																
693																
694																
695																
696																
697																
698																
699																
700																
701																
702																
703																
704																
705																
706																
707																
708																
709																
710																
711																
712																
713																
714																
715																
716																
717																
718																
719																
720																
721																
722																
723																
724																
725																
726																
727																
728																
729																
730																
731																
732																
733																
734																
735																
736																
737																
738																
739																
740																
741																
742																
743																
744																
745																
746																
747																
748																
749																
750																
751																
752																
753																
754																
755																
756																
757																
758																
759																
760																
761																
762																
763																
764																
765																
766																
767																
768																
769																
770																
771																
772																
773																
774																
775																
776																
777																
778																
779																
780																
781																
782																
783																
784																
785																
786																
787																
788																
789																
790																
791																
792																
793																
794																
795																
796																
797																
798																
799																
800																
801																
802																
803																
804																
805																
806																
807																
808																
809																
810																
811																
812																
813																
814																
815																
816																
817																
818																
819																
820																
821																
822																
823																
824																
825																
826																
827																
828																
829																
830																
831																
832																
833																
834																
835																
836																
837																
838																
839																
840																
841																
842																
843																
844																
845																
846																
847																
848																
849																
850																
851																
852																
853																
854																
855																
856																
857																
858																
859																
860																
861																
862																
863																
864																
865																
866																
867																
868																
869																
870																
871																
872																
873																
874																
875																
876																
877																
878																
879																
880																
881																
882																
883																
884																
885																
886																
887																
888																
889																
890																
891																
892																
893																
894																
895																
896																
897																
898																
899																
900																
901																
902																
903																
904																
905																
906																
907																
908																
909																
910																
911																
912																
913																
914																
915																
916																
917																
918																
919																
920																
921																
922																
923																
924																
925																
926																
927																
928																
929																
930																
931																
932																
933																
934																
935																
936																
937																
938																
939																
940																
941																
942																
943																
944																
945																
946																
947																
948																
949																
950																
951																
952																
953																
954																
955																
956																
957																
958																
959																
960																
961																
962																
963																
964																
965																
966																
967																
968																
969																
970																
971																
972																
973																
974																
975																
976																
977																
978																
979																
980																
981																
982																
983																
984																
985																
986																
987																
988																
989																
990																
991																
992																
993																
994	Test Item	TEST	NONE	STORE, CHEST	ANY	NONE	0	Does nothing	TEST ITEM ONLY. Does nothing		NONE	0	NONE	0	Item_Placeholder_1x.png	
995	Add Armor	TEST	BUFF	STORE, CHEST	ANY	GOLD	1	Adds 1 armored heart	TEST ITEM ONLY. Adds 1 armored heart		ADD_FLAT_ARMOR	1	NONE	0	Item_Placeholder_1x.png	
996	Add Health	TEST	BUFF	STORE, CHEST	ANY	GOLD	1	Heals for one heart	TEST ITEM ONLY. Heals for one heart		ADD_FLAT_HEAL	1	NONE	0	Item_Placeholder_1x.png	
997	Add Max Health	TEST	BUFF	STORE, CHEST	ANY	GOLD	1	Adds 1 max health	TEST ITEM ONLY. Adds 1 max health		ADD_FLAT_MHEALTH	1	NONE	0	Item_Placeholder_1x.png	
998	Add Attack	TEST	BUFF	STORE, CHEST	ANY	HEALTH	1	Adds 10% to attack	TEST ITEM ONLY. Adds 10% to attack		ADD_PCNT_ATK	10	NONE	0	Item_Placeholder_1x.png	
999	Add Move Speed	TEST	BUFF	STORE, CHEST	ANY	HEALTH	1	Adds 50% move speed	TEST ITEM ONLY. Adds 50% move speed		ADD_PCNT_MSPD	50	NONE	0	Item_Placeholder_1x.png	